Geo_NAME,Geo_QName,Geo_AREALAND,Geo_AREAWATR,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,Geo_COUNTY,SF1_P0020001,SF1_P0020002,SF1_P0020003,SF1_P0020004,SF1_P0020005,SF1_P0020006,PCT_SF1_P0020002,PCT_SF1_P0020003,PCT_SF1_P0020004,PCT_SF1_P0020005,PCT_SF1_P0020006
"San Mateo County","San Mateo County, California","1161371825","757704380","050","00","4","9","06081","06","081",718451,704865,684152,20713,13586,0,98.11,95.23,2.88,1.89,0
"Santa Barbara County","Santa Barbara County, California","7083838022","2729829365","050","00","4","9","06083","06","083",423895,402626,377637,24989,21269,0,94.98,89.09,5.9,5.02,0
"Santa Clara County","Santa Clara County, California","3341343470","36174996","050","00","4","9","06085","06","085",1781642,1762335,1762335,0,19307,0,98.92,98.92,0,1.08,0
"Santa Cruz County","Santa Cruz County, California","1152986019","419568865","050","00","4","9","06087","06","087",262382,230793,230793,0,31589,0,87.96,87.96,0,12.04,0
"Shasta County","Shasta County, California","9778246966","186530888","050","00","4","9","06089","06","089",177223,125321,117731,7590,51902,0,70.71,66.43,4.28,29.29,0
"Sierra County","Sierra County, California","2468813797","23299108","050","00","4","9","06091","06","091",3240,9,9,0,3231,0,0.28,0.28,0,99.72,0
"Siskiyou County","Siskiyou County, California","16259652221","179889482","050","00","4","9","06093","06","093",44900,15344,0,15344,29556,0,34.17,0,34.17,65.83,0
"Solano County","Solano County, California","2128361199","218665937","050","00","4","9","06095","06","095",413344,397974,372432,25542,15370,0,96.28,90.1,6.18,3.72,0
"Sonoma County","Sonoma County, California","4081430136","497530353","050","00","4","9","06097","06","097",483878,424102,372309,51793,59776,0,87.65,76.94,10.7,12.35,0
"Stanislaus County","Stanislaus County, California","3871582888","51437339","050","00","4","9","06099","06","099",514453,473396,433288,40108,41057,0,92.02,84.22,7.8,7.98,0
"Sutter County","Sutter County, California","1560235601","15747004","050","00","4","9","06101","06","101",94737,80718,72171,8547,14019,0,85.2,76.18,9.02,14.8,0
"Tehama County","Tehama County, California","7639709781","32276063","050","00","4","9","06103","06","103",63463,30787,0,30787,32676,0,48.51,0,48.51,51.49,0
"Trinity County","Trinity County, California","8234229734","73407861","050","00","4","9","06105","06","105",13786,0,0,0,13786,0,0,0,0,100,0
"Tulare County","Tulare County, California","12494658169","37391616","050","00","4","9","06107","06","107",442179,373730,289726,84004,68449,0,84.52,65.52,19,15.48,0
"Tuolumne County","Tuolumne County, California","5752062580","138683578","050","00","4","9","06109","06","109",55365,28255,0,28255,27110,0,51.03,0,51.03,48.97,0
"Ventura County","Ventura County, California","4773691889","945991626","050","00","4","9","06111","06","111",823318,797593,752770,44823,25725,0,96.88,91.43,5.44,3.12,0
"Yolo County","Yolo County, California","2628032408","22969178","050","00","4","9","06113","06","113",200849,186931,176572,10359,13918,0,93.07,87.91,5.16,6.93,0
"Yuba County","Yuba County, California","1636454192","30998568","050","00","4","9","06115","06","115",72155,53234,44548,8686,18921,0,73.78,61.74,12.04,26.22,0
